kind,page,title,source_filename,repository_path,width,height,bytes,sha256,duplicate_group,note
archive,,Off-track Exodus/Messiah/Zion generation,a_detailed_infographic_poster_worship_teaching_s.png,posters/archive/off-track-generations/from-freedom-to-formation.png,1024,1536,2595357,2acfc947d109e9b9308590125a10510cee9b6ab9a75f6c82f9dc2f9c44a4fc37,,Off-track Exodus/Messiah/Zion generation
archive,,Early one-page deep-immersion overview,a_high_resolution_infographic_poster_study_guide.png,posters/archive/pre-series-concepts/deep-immersion-method-one-page.png,1024,1536,2800600,660ee0362d4a0960a82a92626b4e3dd79c076d4fb1f1f83ae4d667adaaed6821,,Early one-page deep-immersion overview
archive,,Early multi-page layout concept,a_multi_page_infographic_poster_layout_shown_as.png,posters/archive/pre-series-concepts/multi-page-layout-contact-sheet.png,1024,1536,2363111,b42ce607226ad8bed3e6fdf97f3e8baf6c9f3f7d9b89ba4a6115f0cc43e900d7,,Early multi-page layout concept
archive,,Pre-series working-framework concept,a_clean_poster_infographic_style_multi_panel_layo.png,posters/archive/pre-series-concepts/working-framework-one-page.png,1024,1536,2464407,bbb28d16b591a882da4bfbf4132d6be58346ef0647e9a968acefe855277c603c,,Pre-series working-framework concept
canonical,1,The Architecture of Deep Reading,the_worlds_of_deep_reading.png,posters/01-entering-the-world-of-the-text/01-the-architecture-of-deep-reading.png,1055,1491,3082226,dcc7d66b042e53cd80c2c0633474cf7a1bd7828b8ab8eb24f5db753c08f4980d,,
canonical,2,Learning to Read Slowly,the_art_of_slow_reading.png,posters/01-entering-the-world-of-the-text/02-learning-to-read-slowly.png,1122,1402,3156304,4fe24115ea3f69d79f4a5fca8c31a84a8b7ac20f37c978d20820e8f7647a3f9c,,
canonical,3,Five Doorways into the World of the Text,five_doorways_to_understanding_sacred_texts.png,posters/01-entering-the-world-of-the-text/03-five-doorways-into-the-world-of-the-text.png,1122,1402,3127496,13cfb88b7cdc7f06b63d965589c958a7f05fec66539835ecc342cf33c20bfe97,,
canonical,5,"WHAT? — Movement, Genre, and Change",exploring_sacred_texts_through_movement_and_change.png,posters/01-entering-the-world-of-the-text/05-what-movement-genre-and-change.png,1086,1448,3121349,fed6de76b3ba83b91deacad8f82e780a993b373565bbc8f16093d5a35bf64e6b,,
canonical,6,"WHERE? — Setting, Atmosphere, and Sacred Geography",exploring_sacred_worlds_through_setting_and_atmosp.png,posters/01-entering-the-world-of-the-text/06-where-setting-atmosphere-and-sacred-geography.png,1122,1402,3096083,8d231babcaae2456e81322928cdfd98d3699b931a42f2d338b0913e7663b9f4c,,
canonical,7,"WHEN? — Time, Memory, and Horizon",exploring_time_in_sacred_texts.png,posters/01-entering-the-world-of-the-text/07-when-time-memory-and-horizon.png,1122,1402,3129138,41d31c86f6ca684290d25997d4151457ede098270823d411e9f6a5e461f55adf,,
canonical,8,"WHY? — Pressure, Exposure, and Purpose",the_journey_of_sacred_texts_explained.png,posters/01-entering-the-world-of-the-text/08-why-pressure-exposure-and-purpose.png,1122,1402,3084932,5f9265bd2ed78e7ff93cc77dc8dbddc855c2af5fb48e1bf0aea95dbaa9da13c3,,
canonical,9,The Weather of the Text,the_weather_of_the_text.png,posters/01-entering-the-world-of-the-text/09-the-weather-of-the-text.png,1122,1402,3055387,fae2e0d6d523f0e27329c26c2c565488c9594aa6e9c6b98033ef1582a4884287,,
canonical,10,When the Text Refuses to Settle,sacred_disorientation_in_text_exploration.png,posters/01-entering-the-world-of-the-text/10-when-the-text-refuses-to-settle.png,1122,1402,3039865,2a97e10cb6b76c7d87783515430c8cc108fedcebe7dce12b0e93685c6e6e0558,DUP-001,
canonical,11,Symbolic Pressure,symbolic_pressure_and_the_world_of_texts.png,posters/01-entering-the-world-of-the-text/11-symbolic-pressure.png,1122,1402,3086747,1f63e7d812754536f7e4b3828994ebfc0aa2f0e2f74ccd437c5700a05d2c0df6,,
canonical,12,Voice and Silence,a_richly_illustrated_educational_poster_infograp.png,posters/02-training-the-interpretive-imagination/12-voice-and-silence.png,1122,1402,3239250,a08f7a9cdb081ad37bfa34347c667cde72b1b9dbdf88d29f60a90338bd4f4f81,,
canonical,13,Repetition and Accumulated Weight,a_detailed_illustrated_educational_poster_infograp.png,posters/02-training-the-interpretive-imagination/13-repetition-and-accumulated-weight.png,1024,1536,3416901,bebe8d8082bccc5082e13aef43c8cf29fd468d4086a40209f189beb3f3e8461b,,
canonical,14,Pattern and Echo,a_richly_illustrated_infographic_poster_educatio.png,posters/02-training-the-interpretive-imagination/14-pattern-and-echo.png,1023,1537,3248760,aa1a6051613bc3dcdb53439bb1bdfa584e57867c7c4da4fba743b416ea5a3163,,
canonical,15,Symbolic Ecology,a_richly_illustrated_infographic_poster_style_page.png,posters/02-training-the-interpretive-imagination/15-symbolic-ecology.png,1023,1537,3236097,bec6127aad8ed66f685ef56bc52b257fd40fa44768cb4497b68baccaa2e894fc,,
canonical,16,Movement and Turning Points,a_richly_illustrated_infographic_poster_page_des.png,posters/02-training-the-interpretive-imagination/16-movement-and-turning-points.png,1023,1537,3149359,67b184e1a20cdff11f52dbd23823f1ca57f2fa34e314c456647b576b1476d232,,
canonical,17,Contrast and Collision,a_richly_illustrated_infographic_poster_study_gu.png,posters/02-training-the-interpretive-imagination/17-contrast-and-collision.png,1023,1537,3125435,cae1e37fe4e2fcafeb5af11fcff2d00b7aeb117982f915a0596466b8bb0fee17,,
canonical,18,Irony and Reversal,a_richly_illustrated_infographic_poster_page_with.png,posters/02-training-the-interpretive-imagination/18-irony-and-reversal.png,1024,1536,3212453,43e2c92967897f6bce84f7bd9409098132929255fd6c29796fdaa3feaa9f481e,,
canonical,19,Thresholds and Crossings,a_richly_illustrated_infographic_poster_in_a_warm.png,posters/02-training-the-interpretive-imagination/19-thresholds-and-crossings.png,1024,1536,3211049,e47669b7f89c26dc94b6ede0b2fda47527f2631a61cbb60f69141b1a0f5bfc97,,
canonical,20,Hidden Architecture,a_detailed_infographic_poster_cheat_sheet_style_im.png,posters/02-training-the-interpretive-imagination/20-hidden-architecture.png,1023,1537,3115993,e53db562beae865041f6a8911eb97b8e7721cd434b42c551325a360a076551ca,,
canonical,21,Reading the Whole Field,a_richly_illustrated_infographic_poster_cheat_shee.png,posters/02-training-the-interpretive-imagination/21-reading-the-whole-field.png,1023,1537,3069661,bc06f5015631915e6e09bc2917412290e78102fa272dd29982c15e2fd0845df0,,
canonical,22,False Worlds and Collapsing Trusts,a_detailed_ornate_educational_infographic_poste.png,posters/03-reading-the-human-condition/22-false-worlds-and-collapsing-trusts.png,1023,1537,3188258,bc33b0ec298add98c83d183e0f6a039bd447a860e385b9f29e0c80ed6395c85f,,
canonical,24,Fear and False Security,a_richly_illustrated_infographic_poster_in_a_medie.png,posters/03-reading-the-human-condition/24-fear-and-false-security.png,1024,1536,3059983,8c41c78958ee91596f85f8e6bd9e0d1724eb803d6ec0a337aa371ec6423ea5e3,,
canonical,25,Blindness and Misperception,a_richly_designed_educational_infographic_poster.png,posters/03-reading-the-human-condition/25-blindness-and-misperception.png,1024,1536,2966138,b36cb0ccb2937991fc60245d7deb9a5f7aa65253903a763cf648721ad7260277,,
canonical,26,"Lament, Grief, and Holy Sorrow",a_richly_illustrated_infographic_poster_page_wit.png,posters/03-reading-the-human-condition/26-lament-grief-and-holy-sorrow.png,1024,1536,2939787,41438734fb83c65ff83bf86063038cd5bfc3e773e04a96a5b496d3cb014818ce,,
canonical,27,"Desire, Hunger, and Longing",a_richly_illustrated_infographic_poster_in_warm_go.png,posters/03-reading-the-human-condition/27-desire-hunger-and-longing.png,1024,1536,3064010,cfbd534471de46b7a99b47c2f6eef4ab42b6ea8e5b5371bd6e192cce4415b87d,,
canonical,28,"Justice, Mercy, and the Wounded Community",justice_mercy_and_community_healing.png,posters/03-reading-the-human-condition/28-justice-mercy-and-the-wounded-community.png,1122,1402,3194098,7bc57a43e4092bac55519f0685214d6d66e77b426adeef8cafaea918e450d469,,
canonical,29,Hope Under Pressure,hope_under_pressure_a_study_guide.png,posters/03-reading-the-human-condition/29-hope-under-pressure.png,1122,1402,3271568,e8ea9a8c21b70ed4eb71c20f5b3c39d8c2e33d4cbea0f71640107ef233411622,,
canonical,30,The Human Heart in the Text,a_detailed_ornate_infographic_poster_study_guid.png,posters/03-reading-the-human-condition/30-the-human-heart-in-the-text.png,1024,1536,3451081,d7fa129e149fadd173d1c0dcd1b95b60ec52c239d3c9690c80562b0fab03956e,,
canonical,31,What the Text Reveals About God and Humanity,a_highly_detailed_infographic_poster_teaching_ch.png,posters/03-reading-the-human-condition/31-what-the-text-reveals-about-god-and-humanity.png,1024,1536,3427551,8f7b36c32c8c9d3515bd0f432ed421315a5ee956869d22054b46463f06d8fbb4,,
canonical,32,Reader Location,a_richly_illustrated_infographic_poster_full_page.png,posters/04-reading-as-transformation/32-reader-location.png,1024,1536,3342110,15ad05c23130cd0d7cc9aac1be69b6103d61d2d51254bfa23b7f341d52d50911,,
canonical,33,Resistance and Encounter,a_detailed_ornate_infographic_poster_teaching_cha.png,posters/04-reading-as-transformation/33-resistance-and-encounter.png,1024,1536,3312822,74eefc7f8ddd9d4ecf0902ee8e6a36706055b9627a24616f1965aad05684be42,,
canonical,34,Information Reading vs. Formation Reading,a_richly_illustrated_infographic_poster_with_a_par.png,posters/04-reading-as-transformation/34-information-reading-vs-formation-reading.png,1024,1536,3180485,24e2bdc4f8bea84f40973ec77e30aebdc9cfa000c6118aea00c828655bec7cb8,,
canonical,35,Reading Postures,a_highly_detailed_ornate_infographic_poster_with_w.png,posters/04-reading-as-transformation/35-reading-postures.png,1024,1536,3190497,68e31687a0700a9e89a05abe82eb7419dd9574632948492aa99a7ba10d1c57d0,,
canonical,36,Praying from Inside the Text,a_highly_detailed_ornate_infographic_poster_style.png,posters/04-reading-as-transformation/36-praying-from-inside-the-text.png,1024,1536,3079880,5ad9a50bf808ebf0ca900659cbb1b068a994ecd14ef828054bda41a7d2fe43df,,
canonical,37,Communal Reading and Shared Discernment,a_richly_illustrated_infographic_poster_page_in_a.png,posters/04-reading-as-transformation/37-communal-reading-and-shared-discernment.png,1024,1536,3175869,dac4e982164ecaa7a05aa24e6c81f0e80a58abc5e69c5e48edb24f4493b17bd4,,
canonical,38,Questions That Open Worlds,a_richly_detailed_infographic_poster_page_with_a_p.png,posters/04-reading-as-transformation/38-questions-that-open-worlds.png,1024,1536,3216522,20e5250b4c82d26096a37cdf1aed159c2fedb84fcfe947744ca154c846f236a9,,
canonical,39,The Lifelong Practice of Deep Reading,the_practice_of_deep_reading.png,posters/04-reading-as-transformation/39-the-lifelong-practice-of-deep-reading.png,1024,1536,2962339,6b5e7bcc2c68c576b3c375042a80efc14c0dc0da9ce342a1d3b433e9625e204e,,
canonical,40,Transformed Perception,a_richly_detailed_inspirational_poster_infograph.png,posters/04-reading-as-transformation/40-transformed-perception.png,1024,1536,3046724,94279848f8a9e5eed3cf39ac4f1962cebd4a91c314165d381106b2b8f8653971,,
missing-from-runtime,4,"WHO? — Voice, Vision, and Silence",,,,,,,,Generated during the conversation but not present in the active runtime export; add later from the user’s retained copy.
missing-from-runtime,23,"Power, Empire, and Idolatry",,,,,,,,Generated during the conversation but not present in the active runtime export; add later from the user’s retained copy.
variant,10,Duplicate output of Page 10,imagegen.png,posters/variants/page-10-sacred-disorientation/when-the-text-refuses-to-settle-duplicate.png,1122,1402,3039865,2a97e10cb6b76c7d87783515430c8cc108fedcebe7dce12b0e93685c6e6e0558,DUP-001,Duplicate output of Page 10
variant,11,Symbolic Pressure draft with incorrect series label/page,a_richly_designed_educational_poster_infographic.png,posters/variants/page-11-symbolic-pressure/symbolic-pressure-poster-15-of-17.png,1024,1536,2850921,79539f959c0a63082438f19c4ae1a3061fd8b43212c525fc6dba6659fce28425,,Symbolic Pressure draft with incorrect series label/page
variant,12,Voice and Perspective edit numbered 12,a_richly_illustrated_infographic_poster_with_a_war.png,posters/variants/page-12-voice/voice-and-perspective-page-12.png,1023,1537,2948037,05765f42619b0ca42b63cbeec5452a75f5da2255d80084cf063eb0480c713dae,,Voice and Perspective edit numbered 12
variant,12,Voice and Perspective generation numbered 21,a_richly_detailed_illustrated_educational_poster_p.png,posters/variants/page-12-voice/voice-and-perspective-page-21.png,1023,1537,2974241,b152d9b792ce2bd861cb5332ccf4bd17d4da25f56c17fe9c90aee787b921e096,,Voice and Perspective generation numbered 21
variant,13,Repetition draft with incorrect page number 12,a_richly_illustrated_educational_poster_infographi.png,posters/variants/page-13-repetition/repetition-and-accumulated-weight-page-12.png,1122,1402,3206088,58c7b12d8a4f9618814e87cad8511a4bb650c0f9391721c2dd161bf1ecc05f7c,,Repetition draft with incorrect page number 12
variant,14,First Page 14 version,pattern_and_echo_in_scripture_study.png,posters/variants/page-14-pattern-and-echo/pattern-and-echo-first-version.png,1086,1448,3213423,c8de171b72f46c8a8f99f6dbfc35ddafd2090c16480d1f4c13d6efd2f8ca3ac7,,First Page 14 version
